tempo,valore
1640992500,116.294
1640993400,109.746
1640994300,86.814
1640995200,70.49
1640996100,74.592
1640997000,74.67
1640997900,74.544
1640998800,76.464
1640999700,99.735
1641000600,105.177
1641001500,90.162
1641002400,87.564
1641003300,87.3
1641004200,86.64
1641005100,86.854
1641006000,86.994
1641006900,87.006
1641007800,91.43
1641008700,101.722
1641009600,101.442
1641010500,107.494
1641011400,101.769
1641012300,100.023
1641013200,107.795
1641014100,112.896
1641015000,95.703
1641015900,110.217
1641016800,111.447
1641017700,100.149
1641018600,110.562
1641019500,105.426
1641020400,112.848
1641021300,105.975
1641022200,105.957
1641023100,113.412
1641024000,108.816
1641024900,105.159
1641025800,111.15
1641026700,100.482
1641027600,93.669
1641028500,102.036
1641029400,98.518
1641030300,111.216
1641031200,102.25
1641032100,90.75
1641033000,89.172
1641033900,87.312
1641034800,57.504
1641035700,77.436
1641036600,89.088
1641037500,87.09
1641038400,74.4
1641039300,81.033
1641040200,70.752
1641041100,64.455
1641042000,66.624
1641042900,63.686
1641043800,58.538
1641044700,62.16
1641045600,54.942
1641046500,61.191
1641047400,59.442
1641048300,41.673
1641049200,48.934
1641050100,45.338
1641051000,43.606
1641051900,50.802
1641052800,53.338
1641053700,46.752
1641054600,55.116
1641055500,51.024
1641056400,35.376
1641057300,43.044
1641058200,41.798
1641059100,39.35
1641060000,42.538
1641060900,40.158
1641061800,39.482
1641062700,38.88
1641063600,42.925
1641064500,37.986
1641065400,43.142
1641066300,41.106
1641067200,47.05
1641068100,36.384
1641069000,43.007
1641069900,38.221
1641070800,42.564
1641071700,43.488
1641072600,45.542
1641073500,36.126
1641074400,45.178
1641075300,38.87
1641076200,42.182
1641077100,38.916
1641078000,42.086
1641078900,39.054
1641079800,39.914
1641080700,49.068
1641081600,38.331
1641082500,40.35
1641083400,39.216
1641084300,40.656
1641085200,42.65
1641086100,43.671
1641087000,41.145
1641087900,37.798
1641088800,44.448
1641089700,41.298
1641090600,38.43
1641091500,38.726
1641092400,45.186
1641093300,42.978
1641094200,40.368
1641095100,43.728
1641096000,39.342
1641096900,42.182
1641097800,38.199
1641098700,47.93
1641099600,35.664
1641100500,38.151
1641101400,40.194
1641102300,39.744
1641103200,36.396
1641104100,50.025
1641105000,41.626
1641105900,38.486
1641106800,41.712
1641107700,44.571
1641108600,43.989
1641109500,43.746
1641110400,39.718
1641111300,40.586
1641112200,38.535
1641113100,38.142
1641114000,40.146
1641114900,38.13
1641115800,40.128
1641116700,37.653
1641117600,38.235
1641118500,35.606
1641119400,34.79
1641120300,35.25
1641121200,36.492
1641122100,40.059
1641123000,36.03
1641123900,37.314
1641124800,35.558
1641125700,36.414
1641126600,34.836
1641127500,34.656
1641128400,37.75
1641129300,36.825
1641130200,35.406
1641131100,38.235
1641132000,37.086
1641132900,33.482
1641133800,37.98
1641134700,34.32
1641135600,35.988
1641136500,35.703
1641137400,36.645
1641138300,36
1641139200,40.155
1641140100,35.721
1641141000,38.806
1641141900,39.129
1641142800,36.154
1641143700,41.386
1641144600,38.88
1641145500,40.005
1641146400,40.464
1641147300,37.095
1641148200,41.922
1641149100,37.766
1641150000,36.554
1641150900,40.071
1641151800,40.214
1641152700,40.29
1641153600,38.871
1641154500,38.4
1641155400,40.944
1641156300,39.446
1641157200,39.042
1641158100,40.332
1641159000,39.562
1641159900,40.338
1641160800,40.502
1641161700,39.024
1641162600,41.338
1641163500,42.086
1641164400,81.119
1641165300,90
1641166200,86.754
1641167100,73.164
1641168000,79.227
1641168900,65.262
1641169800,68.198
1641170700,55.834
1641171600,80.313
1641172500,84.642
1641173400,75.648
1641174300,88.39
1641175200,78.258
1641176100,85.47
1641177000,80.09
1641177900,83.952
1641178800,88.608
1641179700,92.902
1641180600,102.986
1641181500,77.376
1641182400,77.398
1641183300,85.274
1641184200,99.342
1641185100,93.159
1641186000,100.617
1641186900,120.471
1641187800,118.482
1641188700,117.936
1641189600,124.197
1641190500,108.459
1641191400,116.361
1641192300,119.415
1641193200,111.582
