Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;ex1;ex2;ex3;ex4
01/01/2024;15,6;14,4;13,8;13,2;14,4;13,8;13,8;13,2;13,8;14,4;12,6;12,0;11,4;12,6;11,4;11,4;12,0;11,4;12,6;13,2;14,4;15,0;16,8;18,6;17,4;27,6;27,0;25,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,4;14,4;13,2;13,2;12,6;13,8;12,6;12,6;14,4;15,0;13,8;6,9;;;;
02/01/2024;13,8;15,0;13,2;13,8;14,4;13,8;14,4;14,4;12,6;13,8;12,6;12,0;12,6;12,0;13,8;12,0;12,0;11,4;12,6;13,8;15,6;16,2;16,8;19,8;21,6;25,2;30,0;28,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;13,8;13,2;13,8;13,8;13,2;13,8;13,2;16,2;15,6;15,6;7,5;;;;
03/01/2024;15,6;15,6;15,0;14,4;16,2;15,0;14,4;15,6;15,6;15,0;13,8;13,2;13,8;13,8;13,2;13,2;14,4;13,8;13,2;13,2;15,0;16,8;18,0;18,0;23,4;25,2;31,2;27,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;14,4;13,8;14,4;12,6;13,2;13,2;14,4;15,6;15,6;14,4;7,5;;;;
04/01/2024;15,0;14,4;13,8;15,6;13,8;14,4;14,4;15,0;13,8;14,4;12,0;12,6;13,8;12,6;12,6;12,0;13,2;12,6;12,6;13,2;15,6;15,6;16,8;16,8;18,0;23,4;27,6;30,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,4;14,4;14,4;14,4;12,6;12,6;12,6;13,8;14,4;13,8;13,8;7,2;;;;
05/01/2024;13,2;14,4;13,2;15,0;14,4;13,8;15,0;14,4;13,8;13,2;13,2;12,6;12,0;11,4;13,2;12,0;11,4;12,0;13,2;13,2;16,2;16,2;17,4;18,0;16,8;26,4;27,6;31,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,4;15,0;13,2;13,2;12,6;13,8;13,2;12,0;14,4;15,6;13,8;6,9;;;;
06/01/2024;13,2;14,4;14,4;13,8;14,4;15,6;14,4;14,4;13,8;15,0;12,0;12,6;13,2;12,0;12,6;12,0;11,4;13,2;12,6;12,6;15,6;17,4;16,8;17,4;16,2;24,6;25,8;29,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,4;13,2;13,2;13,2;13,2;12,0;12,6;12,6;14,4;13,8;13,2;7,2;;;;
07/01/2024;13,8;14,4;13,8;13,2;14,4;13,8;13,8;14,4;13,8;13,2;12,0;12,0;12,0;11,4;12,0;12,0;12,6;11,4;12,6;12,6;15,6;16,2;16,2;20,4;23,4;24,6;26,4;28,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,8;13,8;13,2;13,8;12,6;12,6;13,2;13,8;15,0;14,4;13,8;7,2;;;;
08/01/2024;14,4;13,8;13,8;15,0;13,8;13,8;13,8;15,6;14,4;13,8;12,6;13,2;12,6;12,0;12,0;13,8;13,8;13,8;14,4;14,4;16,8;16,2;17,4;19,2;18,6;25,8;30,6;33,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,8;13,2;13,2;13,2;13,2;12,6;13,8;13,8;13,8;13,2;14,4;6,9;;;;
09/01/2024;13,2;13,8;14,4;12,6;13,8;13,8;13,8;12,6;13,2;13,8;13,2;13,2;13,2;13,8;13,8;12,6;13,2;13,8;13,2;13,2;14,4;16,8;18,6;19,2;22,2;24,0;27,6;28,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;15,0;15,0;13,2;13,2;13,2;13,2;13,8;14,4;14,4;13,8;6,9;;;;
10/01/2024;14,4;14,4;13,8;14,4;14,4;13,8;14,4;14,4;13,2;14,4;13,8;13,2;13,8;13,8;13,8;13,8;13,8;14,4;14,4;14,4;14,4;15,6;16,2;19,8;20,4;21,6;30,0;27,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;14,4;15,6;14,4;13,8;14,4;14,4;13,8;15,0;15,0;15,0;6,9;;;;
