Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;ex1;ex2;ex3;ex4
01/01/2024;12,45;3,18;21,87;10,09;4,86;11,47;7,29;1,55;13,3;2,02;12,25;15,65;4,62;15,49;14,37;18,47;11,87;6,02;0,27;17,64;11,77;3,76;7,41;16,84;23,0;53,97;39,87;25,47;51,06;30,3;10,22;39,42;18,8;3,03;44,4;32,1;52,61;29,67;19,23;14,29;3,26;23,19;28,3;3,75;0,34;22,31;3,37;2,29;12,82;7,03;38,79;41,37;41,73;27,58;12,66;11,92;16,7;38,98;29,49;11,28;5,69;22,28;38,69;31,79;22,12;1,34;21,07;36,28;22,3;36,65;15,2;34,71;1,25;4,6;4,73;31,04;19,78;37,12;23,67;32,69;11,19;22,12;26,28;23,63;2,12;28,33;15,77;1,96;5,66;3,42;19,96;2,1;22,56;15,06;0,87;6,9;;;;
02/01/2024;15,2;1,15;10,33;24,9;19,78;16,51;18,38;27,16;17,43;6,7;2,57;14,64;6,63;20,51;4,99;7,5;22,17;10,91;5,49;2,16;1,34;8,76;28,12;1,53;23,04;30,3;34,05;42,75;11,92;28,7;45,55;37,35;38,45;21,76;33,67;58,46;18,25;6,35;45,32;4,08;45,8;40,92;37,51;37,45;41,82;46,98;11,1;12,28;44,95;19,77;60,11;45,6;36,3;23,73;42,86;35,4;32,69;56,35;21,21;3,17;17,63;33,91;1,43;44,91;23,54;18,74;7,16;29,87;10,44;48,93;49,49;23,71;41,71;15,72;8,95;28,35;17,02;16,19;12,74;19,04;23,26;28,9;11,85;1,91;25,27;25,31;14,34;11,51;16,24;16,65;13,3;2,33;17,13;26,06;4,57;7,5;;;;
03/01/2024;3,93;17,57;18,67;7,12;5,52;0,27;22,36;15,73;1,27;20,4;6,22;17,03;26,4;23,42;22,95;13,22;20,04;6,41;8,49;7,45;2,42;24,15;24,98;24,89;8,0;29,84;1,72;43,7;50,69;51,74;41,43;16,44;55,5;54,5;6,09;50,77;36,98;14,69;23,02;44,71;24,92;14,76;46,62;20,08;23,05;8,49;18,09;50,47;5,12;55,73;25,7;2,7;14,6;31,16;44,38;22,1;1,04;39,69;22,97;9,21;40,17;44,81;37,23;4,39;25,41;26,88;6,69;36,7;20,0;0,92;3,8;26,67;43,36;28,43;15,09;25,38;9,14;20,0;31,69;15,07;3,12;18,92;0,58;27,0;25,39;22,98;8,52;24,8;9,75;11,82;18,25;4,47;11,74;0,66;8,56;7,5;;;;
04/01/2024;24,32;8,87;18,23;22,29;21,65;18,73;26,35;0,43;4,42;4,39;5,13;1,83;25,27;22,98;5,12;10,56;8,77;20,36;20,07;5,07;3,63;13,91;8,56;25,47;5,87;39,1;35,16;5,18;29,34;10,97;9,13;60,34;0,75;31,35;48,19;58,9;25,07;19,59;15,82;40,45;32,54;62,17;4,48;38,68;28,35;66,16;41,26;64,26;2,32;27,05;9,17;33,31;61,61;3,86;42,21;52,07;51,72;7,24;25,38;13,42;43,22;56,02;23,35;39,48;41,48;60,81;37,89;40,68;21,59;40,68;19,89;15,47;13,51;7,54;10,52;37,56;16,13;3,92;10,93;2,15;16,87;20,54;21,86;0,07;16,76;12,02;18,41;26,91;21,96;16,76;16,53;9,36;26,25;9,98;4,88;7,2;;;;
05/01/2024;23,54;24,92;15,03;16,59;19,97;23,79;2,51;3,74;20,06;17,57;25,91;21,11;6,33;1,29;15,93;21,03;9,49;23,59;12,39;17,26;31,89;3,8;20,3;5,31;32,55;27,49;30,75;60,1;49,93;15,04;56,77;39,4;26,6;30,29;47,14;26,37;41,87;56,27;4,83;48,9;4,78;15,13;28,12;6,25;62,9;17,97;0,92;35,72;24,1;28,69;36,96;35,72;8,8;3,17;33,86;49,29;42,03;27,5;33,91;16,59;13,3;15,9;33,29;2,71;42,37;12,49;26,12;52,44;56,51;20,09;25,9;17,98;22,68;29,78;16,12;13,2;7,65;2,27;11,3;0,96;24,01;13,74;22,82;20,32;19,41;14,79;26,11;9,73;4,98;26,83;20,42;15,75;6,25;1,7;19,1;6,9;;;;
06/01/2024;12,66;15,05;12,66;17,43;19,31;1,91;9,82;16,59;5,78;10,19;9,81;4,2;16,29;5,94;1,13;22,78;11,59;1,63;20,53;5,04;28,23;6,9;23,68;16,76;27,62;40,25;17,14;57,41;31,69;15,58;16,61;34,35;5,92;55,6;2,87;64,64;39,67;19,19;52,74;4,17;2,95;8,46;23,49;16,5;18,59;57,83;26,11;21,13;8,38;8,75;46,68;10,83;17,83;40,02;41,84;18,97;13,95;28,49;22,25;22,08;2,47;18,18;21,65;48,96;34,88;9,68;44,88;51,64;40,99;31,05;0,99;32,43;49,42;29,76;33,15;25,67;31,26;14,67;17,98;14,39;28,92;15,8;19,21;3,58;12,18;4,72;24,01;18,45;25,04;9,41;4,99;15,53;23,3;16,69;16,74;7,2;;;;
07/01/2024;13,56;6,54;9,14;18,24;8,42;17,78;2,97;7,58;25,24;4,6;22,65;0,99;18,87;5,68;1,27;6,91;4,34;18,97;0,42;23,37;30,53;30,84;24,59;0,19;8,24;39,14;48,0;44,77;23,65;55,0;34,1;35,85;37,55;21,05;43,09;27,36;50,16;44,05;4,93;29,36;57,01;33,91;26,46;58,13;50,95;18,62;27,9;44,61;5,95;22,63;0,41;20,86;27,88;41,24;20,53;10,33;35,12;41,67;28,05;1,6;51,97;26,03;7,99;23,86;9,25;24,18;3,04;41,08;16,08;44,86;17,79;34,87;22,41;27,94;11,8;36,89;8,07;1,96;5,34;23,61;19,78;28,52;6,87;11,75;2,13;7,9;20,77;14,19;19,72;7,23;21,33;1,78;26,02;10,15;15,62;7,2;;;;
08/01/2024;21,75;2,77;24,68;25,09;14,89;27,0;1,6;16,32;8,02;16,77;5,57;7,41;13,03;0,68;12,01;13,61;18,68;18,21;16,02;3,64;19,54;1,92;14,23;17,11;8,51;7,93;27,06;2,48;23,81;60,34;27,43;32,54;47,96;41,38;22,18;29,22;51,69;37,94;25,04;29,6;8,09;60,25;2,75;39,89;21,61;22,85;48,68;7,48;46,12;35,46;39,25;61,36;8,8;3,97;4,06;12,96;22,19;41,13;39,9;22,68;42,75;36,79;52,44;20,4;45,15;38,06;3,88;5,63;2,69;19,99;15,33;52,76;43,29;19,55;18,98;2,24;11,38;23,31;1,13;8,46;10,68;28,49;9,32;27,99;24,15;23,41;25,44;25,91;7,43;4,0;18,51;1,87;10,24;14,88;17,76;6,9;;;;
09/01/2024;8,04;0,98;15,22;7,87;17,36;8,7;20,89;7,33;23,42;25,25;6,68;21,95;3,35;16,45;18,49;25,03;20,46;15,15;24,79;10,71;8,68;18,4;29,59;33,66;2,48;22,9;18,59;55,96;34,14;52,65;12,05;39,8;48,04;46,01;45,22;34,3;31,77;19,83;3,51;0,88;37,86;31,32;4,78;23,62;28,19;12,0;17,7;19,42;31,31;44,53;55,7;26,03;42,79;7,58;34,35;29,6;24,5;5,95;12,83;14,57;30,51;9,74;13,59;48,36;45,17;2,58;5,95;26,27;10,66;3,73;35,86;15,45;42,02;25,53;5,02;44,38;11,45;23,35;26,11;9,19;7,21;25,23;24,28;1,86;16,68;8,23;1,07;2,17;10,44;20,09;23,36;8,74;9,17;16,22;17,63;6,9;;;;
10/01/2024;9,61;1,58;6,38;18,62;10,63;23,45;4,3;13,53;18,24;9,22;11,41;24,63;11,39;6,5;25,35;11,92;21,15;11,0;7,16;23,38;1,15;8,4;27,03;39,37;32,8;16,0;19,21;36,8;2,52;41,73;25,83;61,62;38,98;41,59;54,47;34,43;28,46;62,1;55,39;56,99;8,41;8,41;56,02;22,54;14,91;0,83;32,24;38,24;24,6;6,82;4,93;8,21;6,05;31,44;36,67;17,56;17,55;2,52;16,36;8,34;16,14;43,25;23,58;35,61;31,0;18,99;31,96;46,19;28,9;17,78;18,87;6,96;27,16;8,77;6,14;12,22;35,68;11,02;27,89;9,16;24,85;10,6;11,57;10,59;0,12;0,25;28,64;13,35;22,94;5,52;21,05;22,0;11,26;7,9;8,18;6,9;;;;
